figure,dgp,T,c,paper,reproduced,difference,within_band
1,1,500,0.0,0.053763440860215,0.04933333333333334,-0.004430107526881659,True
1,1,100,0.0,0.0734767025089606,0.06,-0.013476702508960603,True
1,1,500,0.01,0.0591397849462365,0.05366666666666667,-0.005473118279569832,True
1,1,100,0.01,0.0860215053763441,0.06066666666666667,-0.02535483870967744,True
1,1,500,0.03,0.0663082437275985,0.054,-0.012308243727598499,True
1,1,100,0.03,0.0878136200716845,0.06066666666666667,-0.027146953405017833,True
1,1,500,0.06,0.1111111111111111,0.128,0.016888888888888898,True
1,1,100,0.06,0.078853046594982,0.08900000000000001,0.010146953405018005,True
1,1,500,0.12,0.3207885304659498,0.41,0.08921146953405018,False
1,1,100,0.12,0.1075268817204301,0.14,0.03247311827956992,True
1,1,500,0.24,0.8996415770609318,0.9390000000000001,0.039358422939068216,True
1,1,100,0.24,0.2365591397849462,0.27999999999999997,0.04344086021505378,True
1,1,500,0.5,0.992831541218638,1.0,0.007168458781361964,True
1,1,100,0.5,0.6792114695340502,0.8396666666666667,0.16045519713261647,False
1,3,500,0.0,0.0289389067524116,0.056999999999999995,0.028061093247588396,True
1,3,500,0.01,0.2290996784565916,0.6829999999999999,0.4539003215434083,False
1,3,100,0.01,0.067524115755627,0.18566666666666665,0.11814255091103965,False
1,3,500,0.03,0.5916398713826366,1.0,0.40836012861736337,False
1,3,100,0.03,0.2387459807073955,0.7496666666666666,0.5109206859592711,False
1,3,500,0.06,0.6463022508038585,1.0,0.3536977491961415,False
1,3,100,0.06,0.3906752411575562,0.9899999999999999,0.5993247588424437,False
1,3,500,0.12,0.844855305466238,1.0,0.155144694533762,False
1,3,500,0.24,0.995176848874598,1.0,0.004823151125401992,True
1,3,500,0.5,0.9967845659163987,1.0,0.003215434083601254,True
1,3,100,0.5,0.3995176848874598,1.0,0.6004823151125402,False
2,1,500,0.0,0.057347670250896,0.036666666666666674,-0.020681003584229328,True
2,1,100,0.0,0.0734767025089606,0.05166666666666667,-0.021810035842293927,True
