,dgp,T,c,model,qar_order,reps,critical_value,rejection_rate,kind
0,1,100,0.0,W1,1,1000,8.740537,0.049,size
2,1,100,0.01,W1,1,1000,8.740537,0.048,power
4,1,100,0.03,W1,1,1000,8.740537,0.042,power
6,1,100,0.06,W1,1,1000,8.740537,0.068,power
8,1,100,0.12,W1,1,1000,8.740537,0.134,power
10,1,100,0.24,W1,1,1000,8.740537,0.446,power
12,1,100,0.5,W1,1,1000,8.740537,0.959,power
14,1,250,0.0,W1,1,1000,8.740537,0.039,size
16,1,250,0.01,W1,1,1000,8.740537,0.038,power
18,1,250,0.03,W1,1,1000,8.740537,0.068,power
20,1,250,0.06,W1,1,1000,8.740537,0.096,power
22,1,250,0.12,W1,1,1000,8.740537,0.314,power
24,1,250,0.24,W1,1,1000,8.740537,0.848,power
26,1,250,0.5,W1,1,1000,8.740537,1.0,power
28,1,500,0.0,W1,1,1000,8.740537,0.039,size
30,1,500,0.01,W1,1,1000,8.740537,0.041,power
32,1,500,0.03,W1,1,1000,8.740537,0.075,power
34,1,500,0.06,W1,1,1000,8.740537,0.181,power
36,1,500,0.12,W1,1,1000,8.740537,0.542,power
38,1,500,0.24,W1,1,1000,8.740537,0.995,power
40,1,500,0.5,W1,1,1000,8.740537,1.0,power
1,1,100,0.0,W2,2,1000,8.740537,0.053,size
3,1,100,0.01,W2,2,1000,8.740537,0.056,power
5,1,100,0.03,W2,2,1000,8.740537,0.052,power
7,1,100,0.06,W2,2,1000,8.740537,0.061,power
9,1,100,0.12,W2,2,1000,8.740537,0.143,power
11,1,100,0.24,W2,2,1000,8.740537,0.464,power
13,1,100,0.5,W2,2,1000,8.740537,0.977,power
15,1,250,0.0,W2,2,1000,8.740537,0.042,size
17,1,250,0.01,W2,2,1000,8.740537,0.059,power
19,1,250,0.03,W2,2,1000,8.740537,0.08,power
21,1,250,0.06,W2,2,1000,8.740537,0.099,power
23,1,250,0.12,W2,2,1000,8.740537,0.324,power
25,1,250,0.24,W2,2,1000,8.740537,0.871,power
27,1,250,0.5,W2,2,1000,8.740537,1.0,power
29,1,500,0.0,W2,2,1000,8.740537,0.044,size
31,1,500,0.01,W2,2,1000,8.740537,0.046,power
33,1,500,0.03,W2,2,1000,8.740537,0.071,power
35,1,500,0.06,W2,2,1000,8.740537,0.181,power
37,1,500,0.12,W2,2,1000,8.740537,0.572,power
39,1,500,0.24,W2,2,1000,8.740537,0.994,power
41,1,500,0.5,W2,2,1000,8.740537,1.0,power
42,2,100,0.0,W1,1,1000,8.740537,0.047,size
44,2,100,0.01,W1,1,1000,8.740537,0.035,power
46,2,100,0.03,W1,1,1000,8.740537,0.069,power
48,2,100,0.06,W1,1,1000,8.740537,0.119,power
50,2,100,0.12,W1,1,1000,8.740537,0.309,power
52,2,100,0.24,W1,1,1000,8.740537,0.803,power
54,2,100,0.5,W1,1,1000,8.740537,0.999,power
56,2,250,0.0,W1,1,1000,8.740537,0.039,size
58,2,250,0.01,W1,1,1000,8.740537,0.049,power
60,2,250,0.03,W1,1,1000,8.740537,0.087,power
62,2,250,0.06,W1,1,1000,8.740537,0.195,power
64,2,250,0.12,W1,1,1000,8.740537,0.665,power
66,2,250,0.24,W1,1,1000,8.740537,0.998,power
68,2,250,0.5,W1,1,1000,8.740537,1.0,power
70,2,500,0.0,W1,1,1000,8.740537,0.046,size
72,2,500,0.01,W1,1,1000,8.740537,0.045,power
74,2,500,0.03,W1,1,1000,8.740537,0.128,power
76,2,500,0.06,W1,1,1000,8.740537,0.426,power
78,2,500,0.12,W1,1,1000,8.740537,0.946,power
80,2,500,0.24,W1,1,1000,8.740537,1.0,power
82,2,500,0.5,W1,1,1000,8.740537,1.0,power
43,2,100,0.0,W2,2,1000,8.740537,0.046,size
45,2,100,0.01,W2,2,1000,8.740537,0.06,power
47,2,100,0.03,W2,2,1000,8.740537,0.065,power
49,2,100,0.06,W2,2,1000,8.740537,0.11,power
51,2,100,0.12,W2,2,1000,8.740537,0.29,power
53,2,100,0.24,W2,2,1000,8.740537,0.816,power
55,2,100,0.5,W2,2,1000,8.740537,1.0,power
57,2,250,0.0,W2,2,1000,8.740537,0.037,size
59,2,250,0.01,W2,2,1000,8.740537,0.046,power
61,2,250,0.03,W2,2,1000,8.740537,0.076,power
63,2,250,0.06,W2,2,1000,8.740537,0.23,power
65,2,250,0.12,W2,2,1000,8.740537,0.693,power
67,2,250,0.24,W2,2,1000,8.740537,0.999,power
69,2,250,0.5,W2,2,1000,8.740537,1.0,power
71,2,500,0.0,W2,2,1000,8.740537,0.031,size
73,2,500,0.01,W2,2,1000,8.740537,0.043,power
75,2,500,0.03,W2,2,1000,8.740537,0.131,power
77,2,500,0.06,W2,2,1000,8.740537,0.407,power
79,2,500,0.12,W2,2,1000,8.740537,0.951,power
81,2,500,0.24,W2,2,1000,8.740537,1.0,power
83,2,500,0.5,W2,2,1000,8.740537,1.0,power
84,3,100,0.0,W1,1,1000,8.740537,0.051,size
86,3,100,0.01,W1,1,1000,8.740537,0.238,power
88,3,100,0.03,W1,1,1000,8.740537,0.922,power
90,3,100,0.06,W1,1,1000,8.740537,1.0,power
92,3,100,0.12,W1,1,1000,8.740537,1.0,power
94,3,100,0.24,W1,1,1000,8.740537,1.0,power
96,3,100,0.5,W1,1,1000,8.740537,1.0,power
98,3,250,0.0,W1,1,1000,8.740537,0.046,size
100,3,250,0.01,W1,1,1000,8.740537,0.516,power
102,3,250,0.03,W1,1,1000,8.740537,1.0,power
104,3,250,0.06,W1,1,1000,8.740537,1.0,power
106,3,250,0.12,W1,1,1000,8.740537,1.0,power
108,3,250,0.24,W1,1,1000,8.740537,1.0,power
110,3,250,0.5,W1,1,1000,8.740537,1.0,power
112,3,500,0.0,W1,1,1000,8.740537,0.043,size
114,3,500,0.01,W1,1,1000,8.740537,0.835,power
116,3,500,0.03,W1,1,1000,8.740537,1.0,power
118,3,500,0.06,W1,1,1000,8.740537,1.0,power
120,3,500,0.12,W1,1,1000,8.740537,1.0,power
122,3,500,0.24,W1,1,1000,8.740537,1.0,power
