,alignment,table,cause,effect,tau,lags,k,b,n_subsamples,statistic,paper_p,reproduced_p,difference,same_decision_5pct,same_decision_1pct
0,primary,table3,oil,gold,[0.10;0.90],1,3,77,3363,5.028975,0.0,0.0,0.0,True,True
1,primary,table3,oil,gold,[0.10;0.90],1,4,103,3337,5.028975,0.0,0.0,0.0,True,True
2,primary,table3,oil,gold,[0.10;0.90],1,5,129,3311,5.028975,0.0,0.0,0.0,True,True
3,primary,table3,oil,gold,[0.10;0.90],2,3,77,3363,2.358119,0.0,0.0,0.0,True,True
4,primary,table3,oil,gold,[0.10;0.90],2,4,103,3337,2.358119,0.0,0.0,0.0,True,True
5,primary,table3,oil,gold,[0.10;0.90],2,5,129,3311,2.358119,0.0,0.0,0.0,True,True
6,primary,table3,oil,gold,[0.10;0.90],3,3,77,3363,1.212513,0.0,0.0,0.0,True,True
7,primary,table3,oil,gold,[0.10;0.90],3,4,103,3337,1.212513,0.0,0.0,0.0,True,True
8,primary,table3,oil,gold,[0.10;0.90],3,5,129,3311,1.212513,0.0,0.0,0.0,True,True
9,primary,table3,oil,gold,0.10,1,3,77,3363,1.326421,0.0,0.0,0.0,True,True
10,primary,table3,oil,gold,0.10,1,4,103,3337,1.326421,0.0,0.0,0.0,True,True
11,primary,table3,oil,gold,0.10,1,5,129,3311,1.326421,0.0,0.0,0.0,True,True
12,primary,table3,oil,gold,0.10,2,3,77,3363,0.687022,0.0,0.0,0.0,True,True
13,primary,table3,oil,gold,0.10,2,4,103,3337,0.687022,0.0,0.0,0.0,True,True
14,primary,table3,oil,gold,0.10,2,5,129,3311,0.687022,0.0,0.0,0.0,True,True
15,primary,table3,oil,gold,0.10,3,3,77,3363,0.399522,0.0,0.0,0.0,True,True
16,primary,table3,oil,gold,0.10,3,4,103,3337,0.399522,0.0,0.0,0.0,True,True
17,primary,table3,oil,gold,0.10,3,5,129,3311,0.399522,0.0,0.0,0.0,True,True
18,primary,table3,oil,gold,0.50,1,3,77,3363,0.44575,0.294,0.053821,-0.240179,True,True
19,primary,table3,oil,gold,0.50,1,4,103,3337,0.44575,0.294,0.040455,-0.253545,False,True
20,primary,table3,oil,gold,0.50,1,5,129,3311,0.44575,0.294,0.058291,-0.235709,True,True
21,primary,table3,oil,gold,0.50,2,3,77,3363,0.282861,0.265,0.118347,-0.146653,True,True
22,primary,table3,oil,gold,0.50,2,4,103,3337,0.282861,0.265,0.106982,-0.158018,True,True
23,primary,table3,oil,gold,0.50,2,5,129,3311,0.282861,0.265,0.113561,-0.151439,True,True
